period_start,period_end,followers_gained,followers_lost,followers_net,followers_total,subscribers_gained,subscribers_lost,subscribers_net,subscribers_total,referred_members_gained,referred_members_lost,referred_members_net,referred_members_total,referred_member_earnings
2023-12-01,2023-12-31,177,6,171,659,2,1,1,23,0,1,-1,4,$8.30
2023-11-01,2023-11-30,100,1,99,488,4,0,4,22,0,0,0,5,$10.57
2023-10-01,2023-10-31,16,1,15,389,1,0,1,18,0,0,0,5,$10.57
2023-09-01,2023-09-30,6,1,5,374,0,0,0,17,0,0,0,5,$10.57
2023-08-01,2023-08-31,12,1,11,369,0,0,0,17,0,0,0,5,$10.57
2023-07-01,2023-07-31,18,0,18,358,1,0,1,17,0,0,0,5,$10.57
2023-06-01,2023-06-30,46,2,44,340,3,0,3,16,1,0,1,5,$10.57
2023-05-01,2023-05-31,15,1,14,296,2,0,2,13,1,0,1,4,$8.30
2023-04-01,2023-04-30,11,2,9,282,0,0,0,11,0,0,0,3,$6.29
2023-03-01,2023-03-31,15,1,14,273,1,0,1,11,0,0,0,3,$6.29
2023-02-01,2023-02-28,25,1,24,259,2,1,1,10,0,0,0,3,$6.29
2023-01-01,2023-01-31,28,0,28,235,1,0,1,9,0,1,-1,3,$6.29
2022-12-01,2022-12-31,29,3,26,207,1,0,1,8,0,0,0,4,$8.56
2022-11-01,2022-11-30,33,1,32,181,4,0,4,7,3,0,3,4,$8.56
2022-10-01,2022-10-31,52,0,52,149,2,0,2,3,1,0,1,1,$2.27
2022-09-01,2022-09-30,55,1,54,97,2,1,1,1,0,0,0,0,$0.00
2022-08-01,2022-08-31,13,0,13,43,0,0,0,0,0,0,0,0,$0.00
2022-07-01,2022-07-31,11,0,11,30,0,0,0,0,0,0,0,0,$0.00
2022-06-01,2022-06-30,8,0,8,19,0,0,0,0,0,0,0,0,$0.00
2022-05-01,2022-05-31,1,0,1,11,0,0,0,0,0,0,0,0,$0.00
2022-04-01,2022-04-30,5,0,5,10,0,0,0,0,0,0,0,0,$0.00
2022-03-01,2022-03-31,3,0,3,5,0,0,0,0,0,0,0,0,$0.00
2022-02-01,2022-02-28,1,0,1,2,0,0,0,0,0,0,0,0,$0.00
